"Company Name","Address","City","State","ZIP Code","Record Type","Primary SIC Code","Cuisine Code","Latitude","Longitude"
"Arapahoe Ridge High School","6600 Arapahoe Rd","Boulder","CO","80303","Verified","821103","","040.013079","-105.200224"
"Bear Creek Elementary School","2500 Table Mesa Dr","Boulder","CO","80305","Verified","821103","","039.980728","-105.262097"
"Boulder High School Wrestling","1604 Arapahoe Ave","Boulder","CO","80302","Verified","821103","","040.014570","-105.273479"
"Boulder Preparatory High Sch","5075 Chaparral Ct # 1","Boulder","CO","80301","Verified","821103","","040.066855","-105.203192"
"Boulder Valley School District","6500 Arapahoe Rd","Boulder","CO","80303","Verified","821120","","040.013066","-105.200203"
"Casey Middle School","1301 High St","Boulder","CO","80304","Verified","821103","","040.023231","-105.279541"
"Centennial Middle School","2205 Norwood Ave","Boulder","CO","80304","Verified","821103","","040.045730","-105.267155"
"Columbine Elementary School","3130 Repplier St","Boulder","CO","80304","Verified","821103","","040.032069","-105.270700"
"Creekside Elementary School","3740 Martin Dr","Boulder","CO","80305","Verified","821103","","039.990336","-105.249601"
"Crest View Elementary School","1897 Sumac Ave","Boulder","CO","80304","Verified","821103","","040.050816","-105.273835"
"Douglass Elementary School","840 75th St","Boulder","CO","80303","Verified","821103","","040.002607","-105.178229"
"Eastern Sun Academy","6717 S Boulder Rd","Boulder","CO","80303","Verified","821103","","039.988235","-105.198232"
"Eisenhower Elementary School","1220 Eisenhower Dr","Boulder","CO","80303","Verified","821103","","040.008356","-105.233622"
"Fairview High School","1515 Greenbriar Blvd","Boulder","CO","80305","Verified","821103","","039.973279","-105.241394"
"Flatirons Elementary School","1150 7th St","Boulder","CO","80302","Verified","821103","","040.008346","-105.284909"
"Foothill Elementary School","1001 Hawthorn Ave","Boulder","CO","80304","Verified","821103","","040.035701","-105.284011"
"Friends School","3800 Kalmia Ave","Boulder","CO","80301","Verified","821103","","040.039726","-105.246083"
"Halcyon School","3100 Bucknell Ct","Boulder","CO","80305","Verified","821103","","039.992280","-105.256334"
"Heatherwood Elementary School","7750 Concord Dr","Boulder","CO","80301","Verified","821103","","040.057538","-105.172551"
"High Peaks Elementary School","3995 Aurora Ave","Boulder","CO","80303","Verified","821103","","040.004302","-105.243595"
"Horizon Alternative School","4545 Sioux Dr","Boulder","CO","80303","Verified","821103","","039.994244","-105.237295"
"Horizons K-8 School","4545 Sioux Dr","Boulder","CO","80303","Verified","821103","","039.994244","-105.237295"
"Leeds Cu-Boulder","995 Regent Dr","Boulder","CO","80306","Verified","822101","","040.017800","-105.275700"
"Manhattan School Of Arts","290 Manhattan Dr","Boulder","CO","80303","Verified","821103","","039.994825","-105.228351"
"Mesa Elementary School","1575 Lehigh St","Boulder","CO","80305","Verified","821103","","039.972285","-105.260133"
"Naropa University","2130 Arapahoe Ave","Boulder","CO","80302","Verified","822101","","040.014282","-105.267059"
"Naropa University Nalanda Cmps","6287 Arapahoe Rd","Boulder","CO","80303","Verified","822101","","040.015995","-105.207359"
"Naropa University Paramita","3285 30th St","Boulder","CO","80301","Verified","822101","","040.034067","-105.254487"
"Nevin Platt Middle School","6096 Baseline Rd","Boulder","CO","80303","Verified","821103","","040.001890","-105.209695"
"New Vista High School","700 20th St","Boulder","CO","80302","Verified","821103","","040.001189","-105.266234"
"Southern Hills Middle School","1500 Knox Dr","Boulder","CO","80305","Verified","821103","","039.974276","-105.243953"
"Summit Charter School","4655 Hanover Ave","Boulder","CO","80305","Verified","821103","","039.983125","-105.240622"
"University Hill Elementary Sch","956 16th St","Boulder","CO","80302","Verified","821103","","040.004363","-105.271897"
"University Of Co At Boulder","4185 47th St","Boulder","CO","80301","Verified","822101","","040.050582","-105.244628"
"University Of Co At Boulder","Applied Mathematics","Boulder","CO","80309","Verified","822101","","040.010666","-105.265549"
"University Of Co At Boulder","Biotechnology Buildingcell","Boulder","CO","80309","Verified","822101","","040.010666","-105.265549"
"University Of Colorado","1777 Exposition Dr","Boulder","CO","80301","Verified","822101","","040.017597","-105.247108"
"University Of Colorado","184 Ucb 1720 Pleasant St","Boulder","CO","80309","Verified","822101","","040.008300","-105.269200"
"University Of Colorado","18th And Euclid 301 Ucb","Boulder","CO","80309","Verified","822101","","040.010666","-105.265549"
"University Of Colorado","2300 Colorado Ave","Boulder","CO","80309","Verified","822113","","040.008300","-105.269200"
"University Of Colorado Boulder","2855 Colonial Blvd","Boulder","CO","80309","Verified","822101","","040.008300","-105.269200"
"University Of Colorado Boulder","College Of Business And","Boulder","CO","80309","Verified","822101","","040.010666","-105.265549"
"University Of Colorado-Boulder","914 Broadway","Boulder","CO","80302","Verified","822101","","040.004108","-105.268135"
"University Parent","7353 Meadow Ct","Boulder","CO","80301","Verified","737415","","040.055753","-105.181755"
"Whittier Elementary School","2008 Pine St","Boulder","CO","80302","Verified","821103","","040.022075","-105.270055"
