"Company Name","Address","City","State","ZIP Code","Record Type","Primary SIC Code","Latitude","Longitude"
"Allenspark Fire Protctn Dist","14861 State Highway 7","Allenspark","CO","80510","Verified","922404","040.242400","-105.525800"
"Allenspark Fire Protection","14861 State Highway 7","Allenspark","CO","80510","Verified","922404","040.242400","-105.525800"
"Boulder Fire Dept","6055 Reservoir Rd","Boulder","CO","80301","Verified","922404","040.071060","-105.218712"
"Boulder Mountain Fire Auth","1905 Linden Dr","Boulder","CO","80304","Verified","922404","040.049042","-105.311538"
"Boulder Mountain Fire Protctn","1905 Linden Dr","Boulder","CO","80304","Verified","922404","040.049042","-105.311538"
"Boulder Mountain Fire Protctn","50 Overlook Ln","Boulder","CO","80302","Verified","922404","040.078002","-105.355387"
"Boulder Rural Fire Rescue","6230 Lookout Rd","Boulder","CO","80301","Verified","922404","040.069329","-105.207789"
"Coal Creek Cyn Fire Protctn","32895 Highway 72","Golden","CO","80403","Verified","922404","039.812700","-105.247500"
"Emergency Family Asst","900 Arapahoe Ave","Boulder","CO","80302","Verified","922404","040.013044","-105.283076"
"Fire Of Joy LLC","2566 1/2 6th St","Boulder","CO","80304","Verified","922404","040.023491","-105.288353"
"Four Mile Fire Protection Dist","1740 Fourmile Canyon Dr","Boulder","CO","80302","Verified","922404","040.031582","-105.340294"
"Hygiene Fire Dept","7523 Hygiene Rd","Hygiene","CO","80533","Verified","922404","040.189500","-105.178100"
"Jamestown Volunteer Fire Dept","66 Main St","Jamestown","CO","80455","Verified","922404","040.112000","-105.391000"
"Lafayette Fire Dept","401 N 111th St","Lafayette","CO","80026","Verified","922404","040.001640","-105.094162"
"Lefthand Fire Protection Dist","900 Lefthand Canyon Dr","Boulder","CO","80302","Verified","922404","040.131500","-105.299583"
"Longmont Fire Dept","225 Kimbark St","Longmont","CO","80501","Verified","922404","040.163021","-105.101006"
"Louisville Fire Dept","895 Via Appia Way","Louisville","CO","80027","Verified","922404","039.975170","-105.159943"
"Louisville Fire Marshall","895 Via Appia Way","Louisville","CO","80027","Verified","922404","039.975170","-105.159943"
"Louisville Fire Station 2","895 Via Appia Way","Louisville","CO","80027","Verified","922404","039.975170","-105.159943"
"Lyons Fire Protection District","251 Broadway","Lyons","CO","80540","Verified","922404","040.223484","-105.266853"
"Mountain View Fire Protection","8500 Niwot Rd","Niwot","CO","80503","Verified","922404","040.101242","-105.154221"
"Nederland Fire Protection Dist","650 W 4th St","Nederland","CO","80466","Verified","922404","039.965100","-105.501700"
"Rocky Mountain Fire Auth Town","4390 Eldorado Springs Dr","Boulder","CO","80303","Verified","922404","039.942379","-105.249870"
"Rocky Mountain Fire Dept","2701 S Indiana St","Louisville","CO","80027","Verified","922404","039.928111","-105.160906"
"Rocky Mountain Fire District","1803 S Foothills Hwy # 120","Boulder","CO","80303","Verified","922404","039.954523","-105.232189"
"Rocky Mountain Fire District","7700 Baseline Rd","Boulder","CO","80303","Verified","922404","039.999748","-105.172829"
"Sugar Loaf Fire Protctn Dist","1360 Sugarloaf Rd","Boulder","CO","80302","Verified","922404","040.022034","-105.402145"
