"Company Name","Address","City","State","ZIP Code","Record Type","Latitude","Longitude"
"Alfalfa's Market Inc","1645 Broadway","Boulder","CO","80302","Verified","040.013484","-105.279246"
"Bjorn's Colorado Honey","802 Brooklawn Dr","Boulder","CO","80303","Verified","040.002976","-105.231783"
"Bova's Pantry","1325 Broadway #101","Boulder","CO","80302","Verified","040.009898","-105.277055"
"Brewing Market-Corporate Ofc","5311 Western Ave # 160","Boulder","CO","80301","Verified","040.018222","-105.229251"
"Caspian Deli & Grocery","2607 Pearl St","Boulder","CO","80302","Verified","040.021988","-105.260803"
"Colorado Fresh Markets Inc","PO Box 19813","Boulder","CO","80308","Verified","040.028697","-105.226451"
"Commissary","1825 Pearl St # A","Boulder","CO","80302","Verified","040.019958","-105.271482"
"DDS Liquor & Food Mart","4481 Broadway St","Boulder","CO","80304","Verified","040.055821","-105.282583"
"Eldorado Corner Market","1805 S Foothills Hwy","Boulder","CO","80303","Verified","039.953815","-105.232735"
"Evol Foods","1600 Pearl St # 300","Boulder","CO","80302","Verified","040.018788","-105.274124"
"Fresh Thyme Farmers Market","2690 28th St # F","Boulder","CO","80301","Verified","040.027041","-105.257614"
"Frontera","2900 Valmont Rd # C","Boulder","CO","80301","Verified","040.028734","-105.255592"
"Gold Hill General Store","531 Main St","Boulder","CO","80302","Verified","040.063080","-105.410133"
"Good Karma Foods","2465 Central Ave # 100","Boulder","CO","80301","Verified","040.023606","-105.219060"
"India's Grocery","2877 28th St","Boulder","CO","80301","Verified","040.028370","-105.259300"
"King Soopers","1650 30th St","Boulder","CO","80301","Verified","040.015830","-105.252371"
"King Soopers","3600 Table Mesa Dr Frnt","Boulder","CO","80305","Verified","039.984137","-105.251954"
"King Soopers","6550 Lookout Rd","Boulder","CO","80301","Verified","040.072117","-105.201049"
"Lolita's Market & Deli","800 Pearl St","Boulder","CO","80302","Verified","040.016584","-105.284841"
"Lucky's Market","3960 Broadway St","Boulder","CO","80304","Verified","040.047537","-105.280802"
"Lucky's Market Operating Co","3970 Broadway St # 105","Boulder","CO","80304","Verified","040.047707","-105.280746"
"Mediterranean Markets","2690 28th St","Boulder","CO","80301","Verified","040.027041","-105.257614"
"Natural Grocers","2685 Pearl St","Boulder","CO","80302","Verified","040.022337","-105.260122"
"Original Shade Saver","3077 29th St # 209","Boulder","CO","80301","Verified","040.030552","-105.256441"
"Pablo","4483 Broadway St","Boulder","CO","80304","Verified","040.055821","-105.282583"
"Patagonia","1630 Pearl St","Boulder","CO","80302","Verified","040.018788","-105.274124"
"Phil's Fresh Foods","1845 Range St # A","Boulder","CO","80301","Verified","040.018535","-105.230608"
"Safeway","2798 Arapahoe Ave","Boulder","CO","80302","Verified","040.014005","-105.259647"
"Safeway","3325 28th St","Boulder","CO","80301","Verified","040.035281","-105.259788"
"Safeway","4800 Baseline Rd # Fd1","Boulder","CO","80303","Verified","039.998439","-105.234243"
"Sprouts Farmers Market","2525 Arapahoe Ave # E65","Boulder","CO","80302","Verified","040.015498","-105.262110"
"Sprouts Farmers Market","2950 Baseline Rd","Boulder","CO","80303","Verified","039.998997","-105.254532"
"Target","2800 Pearl St","Boulder","CO","80301","Verified","040.021765","-105.256581"
"Trader Joe's","1906 28th St","Boulder","CO","80301","Verified","040.021133","-105.258195"
"University Hills Market","1134 13th St","Boulder","CO","80302","Verified","040.008036","-105.276094"
"Whole Foods Market","1275 Alpine Ave","Boulder","CO","80304","Verified","040.025876","-105.280739"
"Whole Foods Market","2905 Pearl St","Boulder","CO","80301","Verified","040.023754","-105.255852"
