"Company Name","Address","City","State","ZIP Code","Record Type","Primary SIC Code","Latitude","Longitude"
"14er Boulder","2897 Mapleton Ave #800","Boulder","CO","80301","Verified","512227","040.026035","-105.256383"
"Ajoya Louisville","1100 W Dillon Rd #3","Louisville","CO","80027","Verified","512227","039.961370","-105.166171"
"Alpine Raven Inc","2750 Glenwood Dr","Boulder","CO","80304","Verified","512227","040.032346","-105.259581"
"Altermeds","1156 W Dillon Rd # 3","Louisville","CO","80027","Verified","512227","039.960907","-105.166962"
"Boulder Botanics","1750 30th St #7","Boulder","CO","80301","Verified","807111","040.017260","-105.252416"
"Boulder Wellness Ctr","5420 Arapahoe Ave # F","Boulder","CO","80303","Verified","804946","040.014140","-105.227156"
"Bud Depot","138 Main St","Lyons","CO","80540","Verified","512227","040.222412","-105.264389"
"Cannabis Ascending","5360 Arapahoe Ave # D","Boulder","CO","80303","Verified","512227","040.013933","-105.227906"
"Cannamart Boulder","2043 16th St","Boulder","CO","80302","Verified","512227","040.019764","-105.275359"
"Complete Releaf","1669 Coal Creek Dr","Lafayette","CO","80026","Verified","512227","039.983046","-105.093222"
"Cue Cannabis","2615 13th St","Boulder","CO","80304","Verified","512227","040.024689","-105.280815"
"Drift","1750 30th St #12","Boulder","CO","80301","Verified","512227","040.017260","-105.252416"
"Eclipse Cannabis Co","933 Alpine Ave #2","Boulder","CO","80304","Verified","512227","040.025780","-105.284904"
"Elements Boulder","1534 55th St","Boulder","CO","80303","Verified","804946","040.013789","-105.224921"
"Euflora","250 S Main St","Longmont","CO","80501","Verified","512227","040.153052","-105.101930"
"Farm Wholesale Craft Cannabis","2801 Iris Ave","Boulder","CO","80301","Verified","512227","040.036649","-105.257060"
"Fresh Baked Dispensary","2539 Pearl St","Boulder","CO","80302","Verified","512227","040.021861","-105.262036"
"Gold N T LLC","537 Canyon Blvd","Boulder","CO","80302","Verified","512227","040.015468","-105.288019"
"Green Cross Of Longmont","165 Primrose Ct # B","Longmont","CO","80501","Verified","512227","040.161744","-105.079255"
"Green Dream HEALTH Svc","6700 Lookout Rd # 5","Boulder","CO","80301","Verified","512227","040.072319","-105.197764"
"Green Room","3554 Pearl St # G","Boulder","CO","80301","Verified","512227","040.023903","-105.248245"
"Green Room","1600 Hover St # C1","Longmont","CO","80501","Verified","512227","040.187005","-105.129672"
"Green Solution","206 S Main St","Longmont","CO","80501","Verified","512227","040.154491","-105.101440"
"Green Tree Medicinals","5565 Arapahoe Ave","Boulder","CO","80303","Verified","512227","040.015432","-105.223602"
"Green Tree Medicinals","12626 N 107th St","Longmont","CO","80504","Verified","512227","040.207012","-105.102066"
"Green Tree Medicinals","455 Weaver Park Rd # 900","Longmont","CO","80501","Verified","512227","040.161720","-105.082412"
"Harvest House","211 Highway 119 S","Nederland","CO","80466","Verified","512227","039.965100","-105.501700"
"Headquarters Cannabis Co","4497 Ute Hwy","Longmont","CO","80503","Verified","512227","040.212658","-105.249214"
"Health Center","537 Canyon Blvd","Boulder","CO","80302","Verified","512227","040.015468","-105.288019"
"Helping Hands Dispensary","1021 Pearl St # 2","Boulder","CO","80302","Verified","804946","040.017763","-105.282131"
"Holistic Cannabis Network","","Boulder","CO","80302","Verified","512227","040.018700","-105.287200"
"Igadi LTD","1655 Courtsey Rd","Louisville","CO","80027","Verified","512227","039.964600","-105.148000"
"Igadi LTD","972 W Dillon Rd","Louisville","CO","80027","Verified","512227","039.960334","-105.163725"
"Journey2life & Holos Health","3000 Center Green Dr # 230","Boulder","CO","80301","Verified","809921","040.029647","-105.245975"
"Karing KIND LLC","5854 Rawhide Ct # C","Boulder","CO","80302","Verified","512227","040.080856","-105.280755"
"Lyons Finest","4071 Ute Hwy","Longmont","CO","80503","Verified","512227","040.218376","-105.259862"
"Magnolia Road","1750 30th St # 84a","Boulder","CO","80301","Verified","512227","040.017260","-105.252416"
"Maikoh Holistics Boulder Dspns","2750 Glenwood Dr # 8","Boulder","CO","80304","Verified","512227","040.032346","-105.259581"
"Native Roots Boulder","1146 Pearl St #200","Boulder","CO","80302","Verified","512227","040.017513","-105.280098"
"Native Roots Dispensary","1146 Pearl St # 200","Boulder","CO","80302","Verified","512227","040.017513","-105.280098"
"Native Roots Dispensary","845 Walnut St","Boulder","CO","80302","Verified","512227","040.016157","-105.284048"
"Native Roots Dispensary","19 S Sunset St","Longmont","CO","80501","Verified","512227","040.161801","-105.122301"
"Natives Choice","2400 Broadway St","Boulder","CO","80304","Verified","809921","040.022518","-105.281219"
"New Options Wellness","2885 Aurora Ave # 40","Boulder","CO","80303","Verified","512227","040.004231","-105.256150"
"Nineteen Seventy Five","1116 W Dillon Rd","Louisville","CO","80027","Verified","512227","039.960655","-105.166163"
"Options Recreational Ctr","5290 Arapahoe Ave # J","Boulder","CO","80303","Verified","549913","040.014092","-105.229643"
"Peaceful Choice","7464 Arapahoe Rd # A9","Boulder","CO","80303","Verified","512227","040.013776","-105.179176"
"Republic-Cannabis Dispensary","8401 Baseline Rd","Boulder","CO","80303","Verified","512227","040.001614","-105.157111"
"Rm3 Labs","3991 Escuela Ct","Boulder","CO","80301","Verified","512227","040.047310","-105.249599"
"Root Organic MMC","5420 Arapahoe Ave # D","Boulder","CO","80303","Verified","512227","040.014140","-105.227156"
"Starbuds","1600 Hover St # B2","Longmont","CO","80501","Verified","512227","040.187005","-105.129672"
"Starbuds","1156 W Dillon Rd","Louisville","CO","80027","Verified","512227","039.960907","-105.166962"
"Starbuds Niwot","6924 N 79th St","Niwot","CO","80503","Verified","512227","040.099777","-105.168694"
"Surna Inc","1780 55th St #C","Boulder","CO","80301","Verified","512227","040.016731","-105.224636"
"Terrapin Care Station","1795 Folsom St","Boulder","CO","80302","Verified","512227","040.016984","-105.263293"
"Terrapin Care Station","5370 Manhattan Cir # 104","Boulder","CO","80303","Verified","512227","039.984861","-105.227365"
"Terrapin Care Station","650 20th Ave","Longmont","CO","80501","Verified","512227","040.194213","-105.103332"
"Trill Alternatives LLC","1537 Pearl St # B","Boulder","CO","80302","Verified","512227","040.019189","-105.275212"
