"Company Name","Address","City","State","ZIP Code","Record Type","Primary SIC Code","Cuisine Code","Latitude","Longitude"
"Boulder History Museum","2205 Broadway","Boulder","CO","80302","Verified","841201","","040.020126","-105.281180"
"Boulder History Museum","Harbeck Bergheim House1206 Euc","Boulder","CO","80302","Verified","841201","","040.018700","-105.287200"
"Boulder Museum-Contemporary","1750 13th St","Boulder","CO","80302","Verified","999966","","040.015018","-105.276913"
"Cu Heritage Ctr","1600 Pleasant St","Boulder","CO","80309","Verified","841201","","040.008300","-105.269200"
"Heritage Center","1600 Pleasant St # 3","Boulder","CO","80309","Verified","841201","","040.008300","-105.269200"
"Historic Highland Executive","885 Arapahoe Ave","Boulder","CO","80302","Verified","653118","","040.013440","-105.284152"
"James F Bailey Assay Ofc Msm","6352 Fourmile Canyon Dr","Boulder","CO","80302","Verified","841201","","040.039768","-105.393456"
"Leanin' Tree Inc","6055 Longbow Dr","Boulder","CO","80301","Verified","841201","","040.064219","-105.212971"
"Museum & Field Studies Program","218 University Of Colorado","Boulder","CO","80309","Verified","841201","","040.008300","-105.269200"
"Museum Ofboulder","6595 Odell Pl","Boulder","CO","80301","Verified","841201","","040.073985","-105.199794"
"Shelby American Collection","5020 Chaparral Ct","Boulder","CO","80301","Verified","841201","","040.065838","-105.202457"
"University-Co Msm-Natrl Hstry","1030 Broadway St","Boulder","CO","80309","Verified","841201","","040.008300","-105.269200"
"University-Co-Boulder-Art Msm","1085 18th St","Boulder","CO","80309","Verified","841201","","040.008300","-105.269200"
