"Company Name","Address","City","State","ZIP Code","Record Type","Primary SIC Code","Latitude","Longitude"
"Boulder County Sheriff Bretsa","405 Center Dr","Superior","CO","80027","Verified","922103","039.957951","-105.173149"
"Boulder County Sheriff Office","5600 Flatiron Pkwy","Boulder","CO","80301","Verified","912103","040.022471","-105.223351"
"Boulder County Sheriff Patrol","5600 Flatiron Pkwy","Boulder","CO","80301","Verified","912103","040.022471","-105.223351"
"Boulder Police Dept","1805 33rd St","Boulder","CO","80301","Verified","922104","040.017426","-105.250134"
"Erie Police Dept","1000 Telleen Ave","Erie","CO","80516","Verified","922104","040.044540","-105.056694"
"Lafayette Police Dept","451 N 111th St","Lafayette","CO","80026","Verified","922104","040.002486","-105.094634"
"Longmont Police Animal Control","225 Kimbark St","Longmont","CO","80501","Verified","922104","040.163021","-105.101006"
"Longmont Police Chief","225 Kimbark St","Longmont","CO","80501","Verified","922104","040.163021","-105.101006"
"Longmont Police Dept","225 Kimbark St","Longmont","CO","80501","Verified","922104","040.163021","-105.101006"
"Louisville Police Dept","992 Via Appia Way","Louisville","CO","80027","Verified","922104","039.972307","-105.162225"
"Nederland Police Dept","20 Lakeview Dr","Nederland","CO","80466","Verified","922104","039.965100","-105.501700"
"Police Department","749 Main St","Louisville","CO","80027","Verified","922104","039.977592","-105.132492"
"Police Department-Records","225 Kimbark St","Longmont","CO","80501","Verified","922104","040.163021","-105.101006"
"Police Dept-Crime Prevention","225 Kimbark St","Longmont","CO","80501","Verified","922104","040.163021","-105.101006"
"Sheriff Department-Civil Div","5600 Flatiron Pkwy","Boulder","CO","80301","Verified","912103","040.022471","-105.223351"
"Sheriff Department-Property","1777 6th St","Boulder","CO","80302","Verified","912103","040.014425","-105.288877"
"Sheriff Dept-Animal Control","5600 Flatiron Pkwy","Boulder","CO","80301","Verified","912103","040.022471","-105.223351"
"Sheriff Dept-Communications","1777 6th St","Boulder","CO","80302","Verified","912103","040.014425","-105.288877"
"Sheriff Dept-Communications","3280 Airport Rd","Boulder","CO","80301","Verified","912103","040.036237","-105.232640"
"Sheriff Dept-Detective Div","1777 6th St","Boulder","CO","80302","Verified","912103","040.014425","-105.288877"
"Sheriff Dept-Detective Div","5600 Flatiron Pkwy","Boulder","CO","80301","Verified","912103","040.022471","-105.223351"
"Sheriff Dept-Victim Assistance","1777 6th St","Boulder","CO","80302","Verified","912103","040.014425","-105.288877"
"Sheriff Dept-Warrants Div","1777 6th St","Boulder","CO","80302","Verified","912103","040.014425","-105.288877"
"Sheriff Dept-Warrants Div","3200 Airport Rd","Boulder","CO","80301","Verified","912103","040.033803","-105.231648"
"Superior Police Dept","405 Center Dr","Superior","CO","80027","Verified","922104","039.957951","-105.173149"
