"Company Name","Address","City","State","ZIP Code","Record Type","Primary SIC Code","Latitude","Longitude"
"ABC Kids Climbing","1960 32nd St","Boulder","CO","80301","Verified","799927","040.020538","-105.251236"
"Academy At Bella Vista","970 Aurora Ave","Boulder","CO","80302","Verified","836105","040.002773","-105.280479"
"Avalon Ballroom","6185 Arapahoe Rd # B","Boulder","CO","80303","Verified","791102","040.015357","-105.209219"
"Bob L Burger Recreation Ctr","111 W Baseline Rd","Lafayette","CO","80026","Verified","799701","040.001221","-105.091786"
"Boulder Center For Conscious","3450 22nd St","Boulder","CO","80304","Verified","804922","040.037289","-105.268198"
"Boulder County Farmers Market","1900 13th St","Boulder","CO","80302","Verified","799701","040.018700","-105.287200"
"Boulder Elks Pool & Patio","3975 28th St","Boulder","CO","80301","Verified","864101","040.047546","-105.259861"
"Boulder Jewish Cmnty Fndtn","6007 Oreg Ave","Boulder","CO","80303","Verified","832294","040.014555","-105.222725"
"Boulder Meeting Of Friends","1825 Upland Ave","Boulder","CO","80304","Verified","866107","040.053311","-105.274681"
"Boulder Mountain Fire Protctn","1905 Linden Dr","Boulder","CO","80304","Verified","922404","040.049042","-105.311538"
"Boulder Municipal Building","1942 Broadway # 314","Boulder","CO","80302","Verified","799701","040.017653","-105.279592"
"Boulder Pride","2132 14th St","Boulder","CO","80302","Verified","274105","040.020165","-105.277654"
"Chautauqua Box Office","900 Baseline Rd","Boulder","CO","80302","Verified","792213","039.999933","-105.281930"
"City Of Louisville","900 Via Appia Way","Louisville","CO","80027","Verified","799701","039.975098","-105.157417"
"Colorado Chautauqua Assn","900 Baseline Rd","Boulder","CO","80302","Verified","738932","039.999933","-105.281930"
"Cu Boulder Campus-Balch Fldhs","2055 Regent Dr","Boulder","CO","80305","Verified","799701","039.980800","-105.251400"
"Danceophile Studio","250 31st St","Boulder","CO","80305","Verified","799701","039.995334","-105.255632"
"East Boulder Community Ctr","5660 Sioux Dr","Boulder","CO","80303","Verified","799701","039.992465","-105.225423"
"Elks Lodge 2541","525 Main St","Louisville","CO","80027","Verified","864101","039.974937","-105.132408"
"Glacier View Ranch","8748 Overland Rd","Ward","CO","80481","Verified","866101","040.136208","-105.458282"
"Glenn Miller Ballroom","1669 Euclid Ave","Boulder","CO","80309","Verified","799701","040.008300","-105.269200"
"Ignite Adaptive Sports","2861 Eldora Ski Rd #140","Nederland","CO","80466","Verified","799701","039.965100","-105.501700"
"Longmont Recreation Ctr","310 Quail Rd","Longmont","CO","80501","Verified","799701","040.146026","-105.098649"
"Louisville City Government-Rec","900 Via Appia Way","Louisville","CO","80027","Verified","799701","039.975098","-105.157417"
"Memory Square Pool","801 Grant Ave","Louisville","CO","80027","Verified","799969","039.978069","-105.136070"
"Nederland Community Ctr","750 Highway 72","Nederland","CO","80466","Verified","799701","039.965100","-105.501700"
"North Boulder Recreation Ctr","3170 Broadway St","Boulder","CO","80304","Verified","799701","040.032384","-105.280482"
"Patchwork School","1428 Main St","Louisville","CO","80027","Verified","799701","039.984145","-105.131770"
"Renaissance Adventures","5717 Arapahoe Ave #100","Boulder","CO","80303","Verified","792905","040.017098","-105.220104"
"Rocky Club Lounge","1240 Ken Pratt Blvd","Longmont","CO","80501","Verified","799701","040.152770","-105.113525"
"South Boulder Recreation Ctr","1360 Gillaspie Dr","Boulder","CO","80305","Verified","799701","039.973756","-105.248766"
"Steinbaugh Pavilion","824 Front St","Louisville","CO","80027","Verified","799701","039.978292","-105.130486"
"Sunset Pool","1900 Longs Peak Ave","Longmont","CO","80501","Verified","799969","040.168541","-105.124542"
"Til Death Do Us Party","390 Hill St","Boulder","CO","80302","Verified","799701","040.062180","-105.409401"
"Wild Bear Nature Ctr","20 Lakeview Dr #107","Nederland","CO","80466","Verified","842202","039.965100","-105.501700"
"Women's Wilderness Inst Ofc","2845 Wilderness Pl # 211","Boulder","CO","80301","Verified","829984","040.026185","-105.249481"
"Ymca Of Boulder Vly Mapleton","2850 Mapleton Ave","Boulder","CO","80301","Verified","832222","040.024734","-105.257717"
"YMCA Of Northern Colorado","2800 Dagny Way","Lafayette","CO","80026","Verified","832222","040.012632","-105.134331"
