"Company Name","Address","City","State","ZIP Code","Record Type","Latitude","Longitude","Primary SIC Code","Cuisine Code"
"1000 Degrees Neapolitan Pizza","1310 College Ave # 270","Boulder","CO","80302","Verified","040.007046","-105.275884","581222",""
"A Cup Of Peace","3216 Arapahoe Ave # B","Boulder","CO","80303","Verified","040.014330","-105.250343","549915",""
"Abo's Pizza","2761 Iris Ave","Boulder","CO","80304","Verified","040.036548","-105.259609","581222",""
"Abo's Pizza","637 S Broadway St # S","Boulder","CO","80305","Verified","039.981954","-105.246866","581222",""
"Acousti Flo","5735 Arapahoe Ave","Boulder","CO","80303","Verified","040.016003","-105.220047","581208",""
"Ados","1143 13th St #101","Boulder","CO","80302","Verified","040.008165","-105.276587","581301",""
"Aim House","2000 21st St","Boulder","CO","80302","Verified","040.020485","-105.268045","581208",""
"Alferd Packer Restaurant","1669 Euclid Ave #1","Boulder","CO","80302","Verified","040.018700","-105.287200","581208",""
"Ali Baba Grill","3033 28th St","Boulder","CO","80301","Verified","040.029901","-105.258852","581208","R"
"Aloy Thai Cuisine","2720 Canyon Blvd","Boulder","CO","80302","Verified","040.017222","-105.259065","549941",""
"Alpine Modern Cafe","904 College Ave","Boulder","CO","80302","Verified","040.006978","-105.281738","581208",""
"Amu","1227 Spruce St","Boulder","CO","80302","Verified","040.019354","-105.279660","581208",""
"Aperitivo","5530 Spine Rd","Boulder","CO","80301","Verified","040.073800","-105.202300","581208",""
"Arabesque","1634 Walnut St # 101","Boulder","CO","80302","Verified","040.017858","-105.273395","581208","j"
"Arcana","909 Walnut St","Boulder","CO","80302","Verified","040.016431","-105.283251","581208",""
"Asian Deli","2835 28th St","Boulder","CO","80301","Verified","040.028213","-105.258577","581208","D"
"Attic Bar & Bistro Boulder","949 Walnut St # 200","Boulder","CO","80302","Verified","040.016618","-105.282453","581208","3"
"Audrey Jane's Pizza Garage","2675 13th St","Boulder","CO","80304","Verified","040.025227","-105.280751","581208","P"
"B J Restaurant","1690 28th St","Boulder","CO","80301","Verified","040.041700","-105.224400","581208",""
"Baby Doe's Coffee & Bakery","1669 Euclid Ave #1","Boulder","CO","80302","Verified","040.018700","-105.287200","581228",""
"Bacco Trattoria-Mozzarella Bar","1200 Yarmouth Ave #A","Boulder","CO","80304","Verified","040.057503","-105.281564","581208","I"
"Backcountry Pizza & Tap House","2319 Arapahoe Ave","Boulder","CO","80302","Verified","040.015026","-105.264203","581208","e"
"Bartaco","1048 Pearl St #101","Boulder","CO","80302","Verified","040.017198","-105.281842","581208","p"
"Basta","3601 Arapahoe Ave #155","Boulder","CO","80303","Verified","040.015202","-105.247772","581222",""
"Beehive Restaurant","2018 10th St","Boulder","CO","80302","Verified","040.017657","-105.282525","581208",""
"Ben & Jerry's","1203 Pearl St","Boulder","CO","80302","Verified","040.018047","-105.279846","581203",""
"Big Daddy Bagels","4800 Baseline Rd #B101","Boulder","CO","80303","Verified","039.998439","-105.234243","581208","3"
"Biju's Little Curry Shop Whole","2905 Pearl St","Boulder","CO","80301","Verified","040.023754","-105.255852","581208","F"
"Bitter Bar","835 Walnut St","Boulder","CO","80302","Verified","040.016241","-105.284240","581208",""
"BJ'S Restaurant & Brewhouse","1125 Pearl St","Boulder","CO","80302","Verified","040.018054","-105.280704","581208","3"
"BJ'S Restaurant & Brewhouse","1690 28th St","Boulder","CO","80301","Verified","040.041700","-105.224400","581208","3"
"Black Cat Farm Table Bistro","1964 13th St","Boulder","CO","80302","Verified","040.017916","-105.278360","581208","A"
"Black Pepper Pho","2770 Pearl St # B","Boulder","CO","80302","Verified","040.021822","-105.258912","581208","W"
"Blackbelly","1606 Conestoga St #3","Boulder","CO","80301","Verified","040.015106","-105.227549","581208",""
"Blackjack Pizza","3023 Walnut St","Boulder","CO","80301","Verified","040.020477","-105.251678","581222",""
"Blofish","1932 14th St","Boulder","CO","80302","Verified","040.018073","-105.277019","581208",""
