"Company Name","Address","City","State","ZIP Code","Record Type","Primary SIC Code","Cuisine Code","Latitude","Longitude"
"Panda Express","2100 28th St # 1a","Boulder","CO","80301","Verified","581208","C","040.023754","-105.255852"
"Panda Express","University Of Colorado","Boulder","CO","80309","Verified","581208","C","040.010666","-105.265549"
"Panera Bread","1855 29th St # 1172","Boulder","CO","80301","Verified","581208","D","040.019249","-105.256577"
"Papa John's Pizza","1669 Euclid Ave No 156","Boulder","CO","80309","Verified","581222","","040.008300","-105.269200"
"Papa Murphy's Take 'N' Bake","3325 28th St # 8","Boulder","CO","80301","Verified","581222","","040.035281","-105.259788"
"Parkway Cafe","4700 Pearl St # 4","Boulder","CO","80301","Verified","581208","3","040.024719","-105.243462"
"Pasta Jays","1001 Pearl St","Boulder","CO","80302","Verified","581208","I","040.017706","-105.282429"
"Pasta Jays Hays LLC","4450 Arapahoe Ave # 100","Boulder","CO","80303","Verified","581208","I","040.013892","-105.238763"
"PDQ Gas & Food","5200 Manhattan Cir","Boulder","CO","80303","Verified","554101","","039.985543","-105.228727"
"Peachy Co","1926 14th St","Boulder","CO","80302","Verified","581208","","040.018023","-105.277001"
"Pearl St Pub & Cellar","1108 Pearl St","Boulder","CO","80302","Verified","581301","","040.017422","-105.280762"
"Pei Wei Asian Diner","1675 29th St # 1284","Boulder","CO","80301","Verified","581208","Y","040.016882","-105.256297"
"Pekoe Sip House","1125 18th St #223","Boulder","CO","80302","Verified","581228","","040.018700","-105.287200"
"Pekoe Sip House","1225 Alpine Ave","Boulder","CO","80304","Verified","549915","","040.025659","-105.281551"
"Pekoe Sip House","2500 30th St # 100","Boulder","CO","80301","Verified","549915","","040.026727","-105.253263"
"Pho Kitchen Bar & Grill","2900 Baseline Rd # 3","Boulder","CO","80303","Verified","581208","W","039.999751","-105.255704"
"Pica's Mexican Taqueria","5360 Arapahoe Ave # F","Boulder","CO","80303","Verified","581208","V","040.013933","-105.227906"
"Pita Pit","1881 9th St","Boulder","CO","80302","Verified","581208","D","040.015480","-105.283962"
"Pizza","1313 College Ave","Boulder","CO","80302","Verified","581208","P","040.007476","-105.275868"
"Pizza Colore","1336 Pearl St","Boulder","CO","80302","Verified","581222","","040.018053","-105.277716"
"Pizza Hut","3175 28th St # A","Boulder","CO","80301","Verified","581222","","040.032077","-105.258988"
"Pizza Hut Express","2800 Pearl St","Boulder","CO","80301","Verified","581222","","040.021765","-105.256581"
"Pizzeria Da Lupo","2525 Arapahoe Ave # H5p","Boulder","CO","80302","Verified","581208","I","040.015498","-105.262110"
"Pizzeria Locale","1730 Pearl St","Boulder","CO","80302","Verified","581222","","040.018700","-105.287200"
"Pmg","2018 10th St","Boulder","CO","80302","Verified","581208","1","040.017657","-105.282525"
"Point Cafe-Boulder","1101 13th St","Boulder","CO","80302","Verified","581208","3","040.007517","-105.276586"
"Post Brewing Co","2027 13th St","Boulder","CO","80302","Verified","208201","","040.018772","-105.279076"
"Potbelly Sandwich Shop","1685 29th St","Boulder","CO","80301","Verified","581208","D","040.016958","-105.256259"
"Protein Bar & Kitchen","1855 29th St","Boulder","CO","80301","Verified","581208","","040.019249","-105.256577"
"Proto's Pizza","5378 Gunbarrel Center Ct # 1","Boulder","CO","80301","Verified","581208","P","040.071945","-105.198929"
"Proto's Pizza Inc","5364 2nd St","Boulder","CO","80304","Verified","581222","","040.068608","-105.289575"
"Proto's Pizzeria Napoletana","4670 Broadway St","Boulder","CO","80304","Verified","581208","3","040.059487","-105.281928"
"Proto's Pizzeria Napoletana","5378 Gunbarrel Center Ct","Boulder","CO","80301","Verified","581208","P","040.071945","-105.198929"
"Purely Elizabeth","3200 Carbon Pl # 100","Boulder","CO","80301","Verified","581208","","040.026157","-105.251808"
"Qdoba Mexican Eats","1625 28th St # 401","Boulder","CO","80301","Verified","581208","V","040.015373","-105.258972"
"Qs Restaurant","2115 13th St","Boulder","CO","80302","Verified","581208","","040.019414","-105.279444"
"Ras Kassa's Ethiopian Rstrnt","2111 30th St # E","Boulder","CO","80301","Verified","581208","q","040.041700","-105.224400"
"Rayback Collective","2775 Valmont Rd","Boulder","CO","80304","Verified","581208","","040.030048","-105.259430"
"Riffs Urban Fare","216 Arapahoe Ave","Boulder","CO","80302","Verified","581208","3","040.012349","-105.295300"
"Rincon Argentino","2525 Arapahoe Ave # A05","Boulder","CO","80302","Verified","581208","n","040.015498","-105.262110"
"Rincon Del Sol","2350 Arapahoe Ave","Boulder","CO","80302","Verified","581208","V","040.014368","-105.263901"
"Rio Grande Mexican Restaurant","1101 Walnut St","Boulder","CO","80302","Verified","581208","n","040.016952","-105.280831"
"River & Woods Restaurant","2328 Pearl St","Boulder","CO","80302","Verified","581208","3","040.020771","-105.264893"
"River Valley Restaurants LLC","7490 Clubhouse Rd # 200","Boulder","CO","80301","Verified","581208","","040.065107","-105.179168"
"Roadhouse Boulder Depot","2366 Junction Pl","Boulder","CO","80301","Verified","581208","A","040.029189","-105.251339"
"Rush Bowls","1207 13th St","Boulder","CO","80302","Verified","581208","","040.008885","-105.276384"
"Salt Bistro","1047 Pearl St","Boulder","CO","80302","Verified","581208","3","040.017876","-105.281542"
"Salvaggio's Italian Deli","2609 Pearl St","Boulder","CO","80302","Verified","581208","D","040.022145","-105.260622"
"Sanchos Mexican Restaurant LLC","6545 Gunpark Dr # 280","Boulder","CO","80301","Verified","581208","V","040.070716","-105.200897"
"Sand Wedge Bar & Grill","5706 Arapahoe Ave","Boulder","CO","80303","Verified","581208","","040.011554","-105.221073"
"Santiago's Mexican Restaurant","1325 Broadway","Boulder","CO","80302","Verified","581208","V","040.009898","-105.277055"
"Savannah Bee Co","1222 Pearl St","Boulder","CO","80302","Verified","514916","","040.017730","-105.279231"
"Scratch Kitchen","2299 Pearl St # 4","Boulder","CO","80302","Verified","581208","","040.021164","-105.265960"
"Sforno Trattoria","1308 Pearl St","Boulder","CO","80302","Verified","581208","I","040.017944","-105.278230"
"Shake Shack","1680 29th St","Boulder","CO","80301","Verified","581208","3","040.015762","-105.255010"
"Shamane's Bakery + Cafe","2825 Wilderness Pl # 800","Boulder","CO","80301","Verified","546102","","040.024694","-105.249651"
"Sherpa's Restaurant & Bar","825 Walnut St","Boulder","CO","80302","Verified","581208","Y","040.016206","-105.284418"
"Shine Restaurant & Potion Bar","2480 Canyon Blvd","Boulder","CO","80302","Verified","581208","y","040.017280","-105.262351"
"Sink","1165 13th St","Boulder","CO","80302","Verified","581208","A","040.008494","-105.276587"
"Smashburger","1650 28th St # 1226","Boulder","CO","80301","Verified","581208","3","040.016041","-105.257156"
"Smiling Moose Deli","3223 Arapahoe Ave # 200","Boulder","CO","80303","Verified","581208","D","040.015122","-105.251087"
"Snarf's Sandwiches","2660 Pearl St","Boulder","CO","80302","Verified","581208","D","040.021847","-105.259499"
"Snarf's Sandwiches","5340 Arapahoe Ave #J","Boulder","CO","80303","Verified","581208","D","040.014197","-105.228346"
"Snarf's Sandwiches","637 S Broadway St # A","Boulder","CO","80305","Verified","581208","D","039.981954","-105.246866"
"Snarf's Sandwiches","6562 Lookout Rd","Boulder","CO","80301","Verified","581208","D","040.072660","-105.200565"
"Snarfs At The Table Lic","637 S Broadway St","Boulder","CO","80305","Verified","581208","","039.981954","-105.246866"
"Snarfs Burgers","2000 Arapahoe Ave","Boulder","CO","80302","Verified","581208","3","040.014449","-105.268824"
"Snooze An AM Eatery","1617 Pearl St","Boulder","CO","80302","Verified","581208","3","040.019383","-105.274283"
"Sobo American Bistro","657 S Broadway St","Boulder","CO","80305","Verified","581208","A","039.981954","-105.246866"
"Sonder Mind","3050 Broadway St","Boulder","CO","80304","Verified","581208","","040.030300","-105.281741"
"South Mouth Wings","1650 Broadway # 1","Boulder","CO","80302","Verified","581208","3","040.013967","-105.278284"
"Southern Sun Pub & Brewery","627 S Broadway St","Boulder","CO","80305","Verified","581208","3","039.984367","-105.249458"
"Spice Of Life","5541 Central Ave # 272","Boulder","CO","80301","Verified","581208","","040.020512","-105.223173"
"Spork & Ladle","2400 Central Ave # H","Boulder","CO","80301","Verified","581208","","040.023356","-105.217422"
"Spruce Cafe","4740 Pearl Pkwy # 105","Boulder","CO","80301","Verified","581208","","040.022880","-105.233736"
"Spruce Farm & Fish","2115 13th St","Boulder","CO","80302","Verified","581208","3","040.019414","-105.279444"
"Spruce Street LLC","1942 Broadway # 314","Boulder","CO","80302","Verified","581208","","040.017653","-105.279592"
"Square Seven LLC","2305 Canyon Blvd # 200","Boulder","CO","80302","Verified","581208","","040.017767","-105.264359"
"St Julien Hotel & Spa","900 Walnut St","Boulder","CO","80302","Verified","701101","","040.015702","-105.282547"
"Steakhouse No 316","1922 13th St","Boulder","CO","80302","Verified","581208","0","040.017413","-105.278232"
"SUBWAY","1669 Euclid Ave Campus","Boulder","CO","80309","Verified","581208","D","040.008300","-105.269200"
"SUBWAY","2480 Baseline Rd","Boulder","CO","80305","Verified","581208","D","040.000009","-105.262521"
"SUBWAY","3070 28th St # F","Boulder","CO","80301","Verified","581208","D","040.031039","-105.257765"
"SUBWAY","5280 Spine Rd # 102","Boulder","CO","80301","Verified","581208","D","040.070293","-105.201652"
"SUBWAY","5290 Arapahoe Ave # C","Boulder","CO","80303","Verified","581208","D","040.014092","-105.229643"
"Suerte Tequila","PO Box 19781","Boulder","CO","80308","Verified","581208","","040.028697","-105.226451"
"Sugarless Inc","645 30th St","Boulder","CO","80303","Verified","581208","","039.999058","-105.253274"
"Sun Deli & Liquor LLC","2299 Pearl St # 9","Boulder","CO","80302","Verified","581208","D","040.021164","-105.265960"
"Sundown Saloon","1136 Pearl St","Boulder","CO","80302","Verified","581208","","040.017517","-105.280284"
"Sushi Hana On The Hill","1220 Pennsylvania Ave","Boulder","CO","80302","Verified","581208","v","040.008494","-105.276587"
"Sushi Zanmai","1221 Spruce St","Boulder","CO","80302","Verified","581208","Y","040.019313","-105.279874"
"Sweetgreen","1601 Pearl St","Boulder","CO","80302","Verified","581208","3","040.019311","-105.274628"
"T/Aco An Urban Taqueria","1175 Walnut St","Boulder","CO","80302","Verified","581208","V","040.016988","-105.279998"
"Taco Bell","2450 Baseline Rd","Boulder","CO","80305","Verified","581208","V","039.999985","-105.262823"
"Taco Bell","3210 Arapahoe Ave #274","Boulder","CO","80303","Verified","581208","V","040.014331","-105.250934"
"Taco Bell","3255 28th St","Boulder","CO","80301","Verified","581208","V","040.033790","-105.259153"
"Taco Junky & Tequila Bar","1149 13th St","Boulder","CO","80302","Verified","581208","n","040.008267","-105.276588"
"Tahona Tequila Bistro","1035 Pearl St","Boulder","CO","80302","Verified","581208","V","040.017798","-105.281898"
"Tanakajd Szepe Dogue De Brdx","1630a 30th St # 323","Boulder","CO","80301","Verified","581208","","040.016110","-105.252675"
"Tandoori Grill","619 S Broadway St","Boulder","CO","80305","Verified","581208","F","039.984444","-105.249887"
"Tangerine Restaurant","2777 Iris Ave","Boulder","CO","80304","Verified","581208","3","040.036556","-105.259410"
"Tasuki","1575 Folsom St # 201","Boulder","CO","80302","Verified","581208","J","040.015204","-105.263374"
"Thai Avenue","1310 College Ave # 220","Boulder","CO","80302","Verified","581208","T","040.007046","-105.275884"
"Thirteenth St The Hill LLC","1149 13th St","Boulder","CO","80302","Verified","581208","","040.008267","-105.276588"
"Thrive","1509 Arapahoe Ave","Boulder","CO","80302","Verified","581208","Z","040.014857","-105.274269"
"Thyme On The Creek","1345 28th St","Boulder","CO","80302","Verified","581208","0","040.012003","-105.260694"
"Tibet Kitchen","2359 Arapahoe Ave Side","Boulder","CO","80302","Verified","581208","Y","040.014814","-105.263372"
"Tiffins","2416 Arapahoe Ave","Boulder","CO","80302","Verified","581208","F","040.014479","-105.263254"
"Torchy's Tacos","2805 Pearl St","Boulder","CO","80301","Verified","581208","V","040.022815","-105.258001"
"Total Site","1919 14th St # 510","Boulder","CO","80302","Verified","581208","","040.017646","-105.277450"
"Totem Post Supper Club","4715 Broadway St","Boulder","CO","80304","Verified","581208","","040.060098","-105.283354"
"Tots Inc","1155 13th St","Boulder","CO","80302","Verified","581208","","040.008339","-105.276587"
"Tsing Tao","607 S Broadway St # A","Boulder","CO","80305","Verified","581208","g","039.983585","-105.249763"
"Tundra Restaurant Supply","3825 Walnut St","Boulder","CO","80301","Verified","504604","","040.020018","-105.245551"
"Twisted Pine Brewing Co","3201 Walnut St # A","Boulder","CO","80301","Verified","208201","","040.020218","-105.251215"
"Under The Sun Eatery-Pizzeria","627 S Broadway St # A","Boulder","CO","80305","Verified","581208","A","039.984367","-105.249458"
"University Hills Market","1134 13th St","Boulder","CO","80302","Verified","541105","","040.008036","-105.276094"
"Vic's","3305 30th St","Boulder","CO","80301","Verified","581208","D","040.035324","-105.254616"
"Village Coffee Shop","1605 Folsom St","Boulder","CO","80302","Verified","581228","","040.015692","-105.263371"
"Vina Pho & Grill","1630 30th St # B","Boulder","CO","80301","Verified","581208","W","040.015830","-105.252371"
"Vishnu Inc","2630 Baseline Rd","Boulder","CO","80305","Verified","581208","F","040.000172","-105.261242"
"Vitality Bowls","2525 Arapahoe Ave # A3","Boulder","CO","80302","Verified","581248","","040.015498","-105.262110"
"Wahoo's Fish Taco","2790 Pearl St","Boulder","CO","80302","Verified","581208","s","040.021862","-105.258911"
"Walnut Cafe","3073 Walnut St","Boulder","CO","80301","Verified","581208","3","040.020234","-105.252782"
"Walnut Cafe South Side","673 S Broadway St","Boulder","CO","80305","Verified","581208","3","039.981954","-105.246866"
"Wendy's","2420 Baseline Rd","Boulder","CO","80305","Verified","581208","e","039.999962","-105.263122"
"Wendy's","5350 Arapahoe Ave","Boulder","CO","80303","Verified","581208","e","040.013623","-105.227928"
"West End Tavern","926 Pearl St","Boulder","CO","80302","Verified","581301","","040.016916","-105.283201"
"West Flanders Brewing","1125 Pearl St","Boulder","CO","80302","Verified","581208","3","040.018054","-105.280704"
"With Good Cause","3550 Frontier Ave # A2","Boulder","CO","80301","Verified","581208","","040.022105","-105.248152"
"Woodgrain Bagels-Boulder","2525 Arapahoe Ave # E1","Boulder","CO","80302","Verified","546101","","040.015498","-105.262110"
"World Famous Dark Horse","2922 Baseline Rd","Boulder","CO","80303","Verified","581208","3","039.998150","-105.253751"
"Yellow Deli","908 Pearl St","Boulder","CO","80302","Verified","581208","D","040.016861","-105.283470"
"You & Mee","1311 Broadway","Boulder","CO","80302","Verified","581208","","040.009736","-105.276829"
"Zeal","3101 Pearl Pkwy","Boulder","CO","80301","Verified","581208","","040.041700","-105.224400"
"Zodiac Subs","2359 Arapahoe Ave # A","Boulder","CO","80302","Verified","581208","D","040.014814","-105.263372"
"Zoe Ma Ma","2010 10th St","Boulder","CO","80302","Verified","581208","C","040.017598","-105.282503"
