"Company Name","Address","City","State","ZIP Code","Record Type","Primary SIC Code","Latitude","Longitude"
"Arapahoe Village A FWR Prprty","2798 Arapahoe Ave","Boulder","CO","80302","Verified","651201","040.014005","-105.259647"
"Burlington Village","195 S Main St","Longmont","CO","80501","Verified","651201","040.155362","-105.103615"
"Centennial Center","300 S Mccaslin Blvd","Superior","CO","80027","Verified","651201","039.965544","-105.162716"
"Crossroads East Shopping Ctr","1750 30th St","Boulder","CO","80301","Verified","651201","040.017260","-105.252416"
"Diagonal Marketplace","1050 Ken Pratt Blvd","Longmont","CO","80501","Verified","651201","040.152798","-105.111160"
"Gunbarrel Shopping Ctr","6564 Lookout Rd","Boulder","CO","80301","Verified","651201","040.072259","-105.200750"
"Meadows On The Parkway A","4800 Baseline Rd","Boulder","CO","80303","Verified","651201","039.998439","-105.234243"
"Old Town Market Place","332 Main St","Longmont","CO","80501","Verified","651201","040.164625","-105.102107"
"Parkway Promenade","700 Ken Pratt Blvd","Longmont","CO","80501","Verified","651201","040.153107","-105.105517"
"Plaza At Wellington Green Ownr","6658 Gunpark Dr # 202a","Boulder","CO","80301","Verified","651201","040.070381","-105.198344"
"Sherman Station","1375 Sherman Dr","Longmont","CO","80501","Verified","651201","040.152923","-105.115775"
"Southmoor Plaza","603 Ken Pratt Blvd","Longmont","CO","80501","Verified","651201","040.151833","-105.103951"
"St Vrain Shopping Ctr","995 S Hover St","Longmont","CO","80501","Verified","651201","040.150566","-105.133499"
"Sunrise Center","1650 30th St","Boulder","CO","80301","Verified","651201","040.015830","-105.252371"
"Superior Marketplace A Brixmor","600 Center Dr","Superior","CO","80027","Verified","651201","039.957500","-105.173200"
"Table Mesa Shopping Ctr","695 S Broadway St","Boulder","CO","80305","Verified","651201","039.982986","-105.248456"
"Tebo-Marshall's PLAZA LLC","","Boulder","CO","80301","Verified","651201","040.041700","-105.224400"
"Twin Peaks Square","800 S Hover St","Longmont","CO","80501","Verified","651201","040.151291","-105.128992"
"Village At Burlington","2251 Ken Pratt Blvd","Longmont","CO","80501","Verified","651201","040.141331","-105.129555"
"Village At The Peaks","1250 S Hover St","Longmont","CO","80501","Verified","651201","040.144053","-105.129346"
"Village Shops At Colony Square","1100 W Dillon Rd","Louisville","CO","80027","Verified","651201","039.961370","-105.166171"
"Walnut Gardens Shopping Ctr","3003 Walnut St","Boulder","CO","80301","Verified","651201","040.020554","-105.252521"
"Waterstreet Plaza LLC A Co LLC","2305 Canyon Blvd # 200","Boulder","CO","80302","Verified","651201","040.017767","-105.264359"
"Westview Plaza","1750 Main St","Longmont","CO","80501","Verified","651201","040.190115","-105.101058"
